tourney_id,tourney_name,surface,draw_size,tourney_level
1974-D005,Davis Cup WG SF: PAK vs AUS,,4,D
2009-1631,Nottingham CH,Grass,32,C
1998-M-FU-ARG-02A-1998,Argentina F2,Clay,32,S
2013-M-FU-TUR-32A-2013,Turkey F32,Hard,32,S
2001-M-FU-MEX-09A-2001,Mexico F9,Clay,32,S
2013-M-FU-TUR-37A-2013,Turkey F37,Hard,32,S
2003-1739,Kosice2 CH,Clay,32,C
2011-M-FU-ROU-08A-2011,Romania F8,Clay,32,S
1996-M-SA-GRE-04A-1996c,Greece 4 Masters 3,Hard,32,S
1993-M-SA-BAN-01A-1993a,Thailand Bangladesh Masters 1,Hard,24,S
2018-M-FU-GBR-01A-2018,Great Britain F1,Hard,32,S
2017-M-FU-IND-03A-2017,India F3,Hard,32,S
2001-M-FU-USA-15A-2001,USA F15,Hard,32,S
2007-M-FU-JPN-03A-2007,Japan F3,Carpet,32,S
1999-M-SA-HUN-01A-1999d,Hungary Masters 4,Clay,32,S
2008-M-FU-TUR-05A-2008,Turkey F5,Clay,32,S
1996-M-SA-MEX-02A-1996c,Mexico 2 Masters 3,Hard,32,S
2012-M-FU-TUR-37A-2012,Turkey F37,Hard,32,S
2012-520,Roland Garros,Clay,128,G
1973-D056,Davis Cup EUR PR: POR vs SUI,Clay,4,D
1989-224,Schenectady,Hard,32,A
2015-M-FU-JPN-08A-2015,Japan F8,Clay,32,S
1999-D029,Davis Cup G2 R1: CIV vs MKD,Hard,4,D
1991-D003,Davis Cup WG R1: NZL vs ARG,Grass,4,D
2006-786,Poznan CH,Clay,32,C
2012-M-FU-MAR-06A-2012,Morocco F6,Clay,32,S
2011-586,Lexington CH,Hard,32,C
2006-M-FU-ITA-28A-2006,Italy F28,Clay,32,S
2007-540,Wimbledon,Grass,128,G
2006-D006,Davis Cup WG R1: NED vs RUS,Carpet,4,D
1999-339,Adelaide,Hard,32,A
1990-490,Sao Paulo2 CH,Clay,32,C
1969-3943,Boston,Carpet,8,A
1998-508,Nuembrecht CH,Carpet,32,C
1997-441,Long Island,Hard,32,A
2004-D044,Davis Cup G2 R1: TUN vs POR,Hard,4,D
1992-459,Salzburg CH,Clay,32,C
2017-M-FU-TUN-20A-2017,Tunisia F20,Clay,32,S
1997-M-SA-CHN-01A-1997d,China Masters 4,Hard,32,S
1987-767,Casablanca CH,Clay,32,C
2013-M-FU-SRB-06A-2013,Serbia F6,Clay,32,S
2004-1766,Groningen CH,Hard,32,C
1998-M-FU-RUS-02A-1998,Russia F2,Hard,32,S
